respondent_id,question_id,attribute,value
1_1,cp2,sexo,1
1_1,cp4_1,edad_anos,50
1_1,cp6,afiliacion_servicio_salud,1
1_1,cp8,nivel_max_estudios,2
1_1,p3,tipo_trabajo,1
1_1,p16,modo_transporte,9
1_1,p164,ingreso,2
1_2,cp2,sexo,0
1_2,cp4_1,edad_anos,22
1_2,cp6,afiliacion_servicio_salud,1
1_2,cp9,nivel_actual_estudios,11
2_1,cp2,sexo,0
2_1,cp4_1,edad_anos,35
2_1,cp6,afiliacion_servicio_salud,1
2_1,cp8,nivel_max_estudios,3
2_1,p3,tipo_trabajo,1
2_1,p16,modo_transporte,31
2_1,p164,ingreso,3
2_2,cp2,sexo,1
2_2,cp4_1,edad_anos,32
2_2,cp6,afiliacion_servicio_salud,1
2_2,cp8,nivel_max_estudios,3
2_3,cp2,sexo,0
2_3,cp4_1,edad_anos,5
2_3,cp6,afiliacion_servicio_salud,1
2_3,cp9,nivel_actual_estudios,1
3_1,cp2,sexo,1
3_1,cp4_1,edad_anos,32
3_1,cp6,afiliacion_servicio_salud,13
3_1,cp8,nivel_max_estudios,3
3_1,p3,tipo_trabajo,5
3_1,p16,modo_transporte,9
3_1,p164,ingreso,3
3_2,cp2,sexo,0
3_2,cp4_1,edad_anos,34
3_2,cp6,afiliacion_servicio_salud,13
3_2,cp8,nivel_max_estudios,4
3_3,cp2,sexo,0
3_3,cp4_1,edad_anos,12
3_3,cp6,afiliacion_servicio_salud,13
3_3,cp9,nivel_actual_estudios,3
3_3,cp10,tipo_escuela,1
3_4,cp2,sexo,0
3_4,cp4_1,edad_anos,6
3_4,cp6,afiliacion_servicio_salud,13
3_4,cp9,nivel_actual_estudios,2
3_4,cp10,tipo_escuela,1
4_1,cp2,sexo,0
4_1,cp4_1,edad_anos,62
4_1,cp6,afiliacion_servicio_salud,13
4_1,cp8,nivel_max_estudios,3
4_1,p3,tipo_trabajo,4
4_1,p16,modo_transporte,9
4_1,p86,servicio_salud_donde_se_atendio,2
4_1,p89,tipo_consulta,1
4_1,p164,ingreso,3
4_2,cp2,sexo,1
4_2,cp4_1,edad_anos,60
4_2,cp6,afiliacion_servicio_salud,13
4_2,cp8,nivel_max_estudios,3
5_1,cp2,sexo,0
5_1,cp4_1,edad_anos,80
5_1,cp6,afiliacion_servicio_salud,1
5_1,cp8,nivel_max_estudios,2
5_1,p3,tipo_trabajo,7
5_1,p16,modo_transporte,9
5_1,p86,servicio_salud_donde_se_atendio,1
5_1,p89,tipo_consulta,1
5_1,p164,ingreso,3
6_1,cp2,sexo,1
6_1,cp4_1,edad_anos,51
6_1,cp6,afiliacion_servicio_salud,3
6_1,cp8,nivel_max_estudios,3
6_1,p3,tipo_trabajo,5
6_1,p16,modo_transporte,21
6_1,p86,servicio_salud_donde_se_atendio,2
6_1,p89,tipo_consulta,1
6_1,p164,ingreso,3
6_2,cp2,sexo,0
6_2,cp4_1,edad_anos,54
6_2,cp6,afiliacion_servicio_salud,3
6_2,cp8,nivel_max_estudios,2
6_3,cp2,sexo,1
6_3,cp4_1,edad_anos,24
6_3,cp6,afiliacion_servicio_salud,1
6_3,cp8,nivel_max_estudios,11
6_4,cp2,sexo,1
6_4,cp4_1,edad_anos,22
6_4,cp6,afiliacion_servicio_salud,3
6_4,cp8,nivel_max_estudios,11
6_5,cp2,sexo,0
6_5,cp4_1,edad_anos,14
6_5,cp6,afiliacion_servicio_salud,3
6_5,cp9,nivel_actual_estudios,4
6_5,cp10,tipo_escuela,1
7_1,cp2,sexo,1
7_1,cp4_1,edad_anos,26
7_1,cp6,afiliacion_servicio_salud,3
7_1,cp8,nivel_max_estudios,11
7_1,p3,tipo_trabajo,5
7_1,p16,modo_transporte,4
7_1,p164,ingreso,4
7_2,cp2,sexo,0
7_2,cp4_1,edad_anos,54
7_2,cp6,afiliacion_servicio_salud,3
7_2,cp8,nivel_max_estudios,4
7_3,cp2,sexo,1
7_3,cp4_1,edad_anos,53
7_3,cp6,afiliacion_servicio_salud,1
7_3,cp8,nivel_max_estudios,3
7_4,cp2,sexo,0
7_4,cp4_1,edad_anos,29
7_4,cp6,afiliacion_servicio_salud,1
7_4,cp8,nivel_max_estudios,11
8_1,cp2,sexo,0
8_1,cp4_1,edad_anos,52
8_1,cp6,afiliacion_servicio_salud,1
8_1,cp8,nivel_max_estudios,3
8_1,p3,tipo_trabajo,1
8_1,p16,modo_transporte,26
8_1,p164,ingreso,4
8_2,cp2,sexo,1
8_2,cp4_1,edad_anos,50
8_2,cp6,afiliacion_servicio_salud,1
8_2,cp8,nivel_max_estudios,3
8_3,cp2,sexo,1
8_3,cp4_1,edad_anos,70
8_3,cp6,afiliacion_servicio_salud,1
8_3,cp8,nivel_max_estudios,2
9_1,cp2,sexo,1
9_1,cp4_1,edad_anos,70
9_1,cp6,afiliacion_servicio_salud,1
9_1,cp8,nivel_max_estudios,2
9_1,p3,tipo_trabajo,5
9_1,p16,modo_transporte,35
9_1,p86,servicio_salud_donde_se_atendio,1
9_1,p89,tipo_consulta,1
9_1,p164,ingreso,3
10_1,cp2,sexo,0
10_1,cp4_1,edad_anos,40
10_1,cp6,afiliacion_servicio_salud,1
10_1,cp8,nivel_max_estudios,3
10_1,p3,tipo_trabajo,1
10_1,p16,modo_transporte,39
10_1,p164,ingreso,3
11_1,cp2,sexo,1
11_1,cp4_1,edad_anos,42
11_1,cp6,afiliacion_servicio_salud,13
11_1,cp8,nivel_max_estudios,3
11_1,p3,tipo_trabajo,1
11_1,p16,modo_transporte,18
11_1,p164,ingreso,3
11_2,cp2,sexo,0
11_2,cp4_1,edad_anos,50
11_2,cp6,afiliacion_servicio_salud,13
11_2,cp8,nivel_max_estudios,4
11_3,cp2,sexo,1
11_3,cp4_1,edad_anos,24
11_3,cp6,afiliacion_servicio_salud,1
11_3,cp9,nivel_actual_estudios,5
11_3,cp10,tipo_escuela,2
11_4,cp2,sexo,0
11_4,cp4_1,edad_anos,9
11_4,cp6,afiliacion_servicio_salud,13
11_4,cp9,nivel_actual_estudios,2
11_4,cp10,tipo_escuela,1
12_1,cp2,sexo,0
12_1,cp4_1,edad_anos,54
12_1,cp6,afiliacion_servicio_salud,1
12_1,cp8,nivel_max_estudios,7
12_1,p3,tipo_trabajo,1
12_1,p16,modo_transporte,26
12_1,p164,ingreso,9999
12_2,cp2,sexo,1
12_2,cp4_1,edad_anos,62
12_2,cp6,afiliacion_servicio_salud,1
12_2,cp8,nivel_max_estudios,3
12_3,cp2,sexo,1
12_3,cp4_1,edad_anos,25
12_3,cp6,afiliacion_servicio_salud,13
12_3,cp8,nivel_max_estudios,3
12_4,cp2,sexo,0
12_4,cp4_1,edad_anos,4
12_4,cp6,afiliacion_servicio_salud,13
12_4,cp9,nivel_actual_estudios,1
12_5,cp2,sexo,1
12_5,cp4_1,edad_anos,64
12_5,cp6,afiliacion_servicio_salud,1
12_5,cp8,nivel_max_estudios,4
12_6,cp2,sexo,1
12_6,cp4_1,edad_anos,59
12_6,cp6,afiliacion_servicio_salud,1
12_6,cp8,nivel_max_estudios,2
13_1,cp2,sexo,1
13_1,cp4_1,edad_anos,74
13_1,cp6,afiliacion_servicio_salud,1
13_1,cp8,nivel_max_estudios,2
13_1,p3,tipo_trabajo,5
13_1,p16,modo_transporte,19
13_1,p164,ingreso,4
13_2,cp2,sexo,0
13_2,cp4_1,edad_anos,52
13_2,cp6,afiliacion_servicio_salud,13
13_2,cp8,nivel_max_estudios,3
13_3,cp2,sexo,0
13_3,cp4_1,edad_anos,26
13_3,cp6,afiliacion_servicio_salud,13
13_3,cp8,nivel_max_estudios,4
14_1,cp2,sexo,0
14_1,cp4_1,edad_anos,68
14_1,cp6,afiliacion_servicio_salud,1
14_1,cp8,nivel_max_estudios,8
14_1,p3,tipo_trabajo,7
14_1,p16,modo_transporte,26
14_1,p164,ingreso,9999
14_2,cp2,sexo,1
14_2,cp4_1,edad_anos,32
14_2,cp6,afiliacion_servicio_salud,1
14_2,cp8,nivel_max_estudios,4
