concept_id,concept_option_id,label,sort_order
attr_modo_transporte,attr_modo_transporte:1,Pie/camina/en silla de ruedas,1
attr_modo_transporte,attr_modo_transporte:2,"Camión, microbús",2
attr_modo_transporte,attr_modo_transporte:3,Taxi,3
attr_modo_transporte,attr_modo_transporte:4,Uber u otra aplicación móvil similar,4
attr_modo_transporte,attr_modo_transporte:5,Motocicleta,5
attr_modo_transporte,attr_modo_transporte:6,Bicicleta,6
attr_modo_transporte,attr_modo_transporte:7,Scooter/Patín eléctrico,7
attr_modo_transporte,attr_modo_transporte:8,Metro,8
attr_modo_transporte,attr_modo_transporte:9,Automóvil/acompañante de automóvil,9
attr_modo_transporte,attr_modo_transporte:10,Transmetro/Ecovía,10
attr_modo_transporte,attr_modo_transporte:11,Transporte escolar,11
attr_modo_transporte,attr_modo_transporte:12,Transporte de trabajo,12
attr_modo_transporte,attr_modo_transporte:13,Autobús privado (tipo Senda),13
attr_modo_transporte,attr_modo_transporte:14,Ambulancia,14
attr_modo_transporte,attr_modo_transporte:15,Avión,15
attr_modo_transporte,attr_modo_transporte:8888,No sabe,8888
attr_modo_transporte,attr_modo_transporte:9999,No contesta,9999
attr_nivel_actual_estudios,attr_nivel_actual_estudios:1,Preescolar,1
attr_nivel_actual_estudios,attr_nivel_actual_estudios:2,Primaria,2
attr_nivel_actual_estudios,attr_nivel_actual_estudios:3,Secundaria,3
attr_nivel_actual_estudios,attr_nivel_actual_estudios:4,Preparatoria o bachillerato general,4
attr_nivel_actual_estudios,attr_nivel_actual_estudios:5,Bachillerato tecnológico,5
attr_nivel_actual_estudios,attr_nivel_actual_estudios:6,Estudios técnicos o comerciales con primaria terminada,6
attr_nivel_actual_estudios,attr_nivel_actual_estudios:7,Estudios técnicos o comerciales con secundaria terminada,7
attr_nivel_actual_estudios,attr_nivel_actual_estudios:8,Estudios técnicos o comerciales con preparatoria terminada,8
attr_nivel_actual_estudios,attr_nivel_actual_estudios:9,Normal con primaria o secundaria terminada,9
attr_nivel_actual_estudios,attr_nivel_actual_estudios:10,Normal de licenciatura,10
attr_nivel_actual_estudios,attr_nivel_actual_estudios:11,Licenciatura,11
attr_nivel_actual_estudios,attr_nivel_actual_estudios:12,Especialidad,12
attr_nivel_actual_estudios,attr_nivel_actual_estudios:13,Maestría,13
attr_nivel_actual_estudios,attr_nivel_actual_estudios:14,Doctorado,14
attr_nivel_actual_estudios,attr_nivel_actual_estudios:8888,No sabe,8888
attr_nivel_actual_estudios,attr_nivel_actual_estudios:9999,No contesta,9999
attr_nivel_max_estudios,attr_nivel_max_estudios:0,Ninguno,0
attr_nivel_max_estudios,attr_nivel_max_estudios:1,Preescolar,1
attr_nivel_max_estudios,attr_nivel_max_estudios:2,Primaria,2
attr_nivel_max_estudios,attr_nivel_max_estudios:3,Secundaria,3
attr_nivel_max_estudios,attr_nivel_max_estudios:4,Preparatoria o bachillerato general,4
attr_nivel_max_estudios,attr_nivel_max_estudios:5,Bachillerato tecnológico,5
attr_nivel_max_estudios,attr_nivel_max_estudios:6,Estudios técnicos o comerciales con primaria terminada,6
attr_nivel_max_estudios,attr_nivel_max_estudios:7,Estudios técnicos o comerciales con secundaria terminada,7
attr_nivel_max_estudios,attr_nivel_max_estudios:8,Estudios técnicos o comerciales con preparatoria terminada,8
attr_nivel_max_estudios,attr_nivel_max_estudios:9,Normal con primaria o secundaria terminada,9
attr_nivel_max_estudios,attr_nivel_max_estudios:10,Normal de licenciatura,10
attr_nivel_max_estudios,attr_nivel_max_estudios:11,Licenciatura,11
attr_nivel_max_estudios,attr_nivel_max_estudios:12,Especialidad,12
attr_nivel_max_estudios,attr_nivel_max_estudios:13,Maestría,13
attr_nivel_max_estudios,attr_nivel_max_estudios:14,Doctorado,14
attr_nivel_max_estudios,attr_nivel_max_estudios:8888,No sabe,8888
attr_nivel_max_estudios,attr_nivel_max_estudios:9999,No contesta,9999
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:1,IMSS,1
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:2,"Hospital naval, militar o PEMEX",2
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:3,ISSSTE Federal,3
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:4,ISSSTELEON,4
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:5,"Secretaría de Salud (""Cuidar tu salud"")",5
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:6,Servicios médicos UANL,6
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:7,Hospital o consultorio privado,7
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:8,"Medicina tradicional (Curandero, hierbero, etc.) o Medicina alternativa",8
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:9,Consultorio de farmacia,9
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:10,"Servicios empresariales de salud (Heineken, Vitro)",10
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:11,Hospital Materno,11
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:12,Clínica municipal,12
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:13,Me atiendo con un familiar,13
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:8888,No sabe,8888
attr_servicio_salud_donde_se_atendio,attr_servicio_salud_donde_se_atendio:9999,No contesta,9999
attr_sexo,attr_sexo:0,Hombre,0
attr_sexo,attr_sexo:1,Mujer,1
attr_sexo,attr_sexo:9999,No contesta,9999
attr_tipo_consulta,attr_tipo_consulta:1,Consulta programada (cita previa),1
attr_tipo_consulta,attr_tipo_consulta:2,Consulta no programada,2
attr_tipo_consulta,attr_tipo_consulta:3,Urgencia,3
attr_tipo_consulta,attr_tipo_consulta:8888,No Sabe,8888
attr_tipo_consulta,attr_tipo_consulta:9999,No Contesta,9999
attr_tipo_escuela,attr_tipo_escuela:1,Pública,1
attr_tipo_escuela,attr_tipo_escuela:2,Privada,2
attr_tipo_escuela,attr_tipo_escuela:3,Otro tipo,3
attr_tipo_escuela,attr_tipo_escuela:8888,No sabe,8888
attr_tipo_escuela,attr_tipo_escuela:9999,No contesta,9999
attr_tipo_trabajo,attr_tipo_trabajo:1,Empleado(a),1
attr_tipo_trabajo,attr_tipo_trabajo:2,Buscando empleo,2
attr_tipo_trabajo,attr_tipo_trabajo:3,Estudiante,3
attr_tipo_trabajo,attr_tipo_trabajo:4,Negocio propio / independiente,4
attr_tipo_trabajo,attr_tipo_trabajo:5,Trabajo del hogar no remunerado (como limpiar la casa y cuidar niños o personas enfermas),5
attr_tipo_trabajo,attr_tipo_trabajo:6,Trabajo del hogar remunerado (limpieza de otros hogares),6
attr_tipo_trabajo,attr_tipo_trabajo:7,Jubilado/Pensionado,7
attr_tipo_trabajo,attr_tipo_trabajo:8,"Ni estudia, ni trabaja, ni busca empleo",8
attr_tipo_trabajo,attr_tipo_trabajo:9,Otro. Especificar,9
attr_tipo_trabajo,attr_tipo_trabajo:9999,No contesta,9999
c003,c003:1,Nombre de cada integrante,1
c007,c007:0,No,0
c007,c007:1,Sí,1
c007,c007:8888,No sabe,8888
c007,c007:9999,No contesta,9999
c015,c015:1,Pie/camina/en silla de ruedas,1
c015,c015:2,"Camión, microbús",2
c015,c015:3,Taxi,3
c015,c015:4,Uber u otra aplicación móvil similar,4
c015,c015:5,Motocicleta,5
c015,c015:6,Bicicleta,6
c015,c015:7,Metro,7
c015,c015:8,Automóvil/acompañante de automóvil,8
c015,c015:9,Transmetro,9
c015,c015:10,Ecovía,10
c015,c015:11,Transporte escolar,11
c015,c015:12,Transporte de trabajo,12
c015,c015:13,Autobús privado (tipo Senda),13
c015,c015:14,Trailer,14
c015,c015:15,Cuatrimoto,15
c015,c015:16,Tractor,16
c015,c015:17,Taxi colectivo,17
c015,c015:8888,No sabe,8888
c015,c015:9999,No contesta,9999
c016,c016:0,No,0
c016,c016:1,Sí,1
c016,c016:8888,No sabe,8888
c016,c016:9999,No contesta,9999
c023,c023:0,No,0
c023,c023:1,Sí,1
c023,c023:8888,No sabe,8888
c023,c023:9999,No contesta,9999
c025,c025:1,Muy frecuente,1
c025,c025:2,Frecuente,2
c025,c025:3,Poco frecuente,3
c025,c025:4,No ocurre,4
c025,c025:8888,No sabe,8888
c025,c025:9999,No contesta,9999
c026,c026:0,No,0
c026,c026:1,Sí,1
c026,c026:8888,No sabe,8888
c026,c026:9999,No contesta,9999
c027,c027:1,Muy frecuente,1
c027,c027:2,Frecuente,2
c027,c027:3,Poco frecuente,3
c027,c027:4,No ocurre,4
c027,c027:8888,No sabe,8888
c027,c027:9999,No contesta,9999
c035,c035:0,No,0
c035,c035:1,Sí,1
c035,c035:8888,No sabe,8888
c035,c035:9999,No contesta,9999
c036,c036:0,No,0
c036,c036:1,Sí,1
c036,c036:8888,No sabe,8888
c036,c036:9999,No contesta,9999
c039,c039:1,Pensando en el bienestar del municipio.,1
c039,c039:2,Pensando en intereses particulares/personales,2
c039,c039:8888,No sabe,8888
c039,c039:9999,No contesta,9999
c040,c040:0,Desaprueba,0
c040,c040:1,Aprueba,1
c040,c040:8888,No sabe,8888
c040,c040:9999,No contesta,9999
c041,c041:1,Ha empeorado,1
c041,c041:2,Se ha mantenido igual de mal,2
c041,c041:3,Se ha mantenido igual de bien,3
c041,c041:4,Ha mejorado,4
c041,c041:8888,No sabe,8888
c041,c041:9999,No contesta,9999
c045,c045:0,No,0
c045,c045:1,Sí,1
c045,c045:8888,No sabe,8888
c045,c045:9999,No contesta,9999
c048,c048:1,Pensando en el bienestar del estado,1
c048,c048:2,Pensando en intereses particulares/personales.,2
c048,c048:8888,No sabe,8888
c048,c048:9999,No contesta,9999
c049,c049:0,Desaprueba,0
c049,c049:1,Aprueba,1
c049,c049:8888,No sabe,8888
c049,c049:9999,No contesta,9999
c050,c050:1,Mejor de lo que esperaba,1
c050,c050:2,Igual de bien que lo que esperaba,2
c050,c050:3,Igual de lo mal que lo que esperaba,3
c050,c050:4,Peor de lo que esperaba,4
c050,c050:8888,No sabe,8888
c050,c050:9999,No contesta,9999
c069,c069:1,La parada está lejos.,1
c069,c069:2,No hay una ruta que me lleve a mi destino.,2
c069,c069:3,Se tarda más tiempo que el transporte privado/ Es más rápido en auto,3
c069,c069:4,El pasaje es muy caro.,4
c069,c069:5,El transporte está feo/sucio,5
c069,c069:6,El transporte no me deja cerca de mi destino.,6
c069,c069:7,El transporte es inseguro,7
c069,c069:8,El transporte siempre va lleno.,8
c069,c069:9,Mal servicio (Choferes poco amables o que juegan carreras),9
c069,c069:10,Comodidad,10
c069,c069:11,No es accesible para personas con discapacidad.,11
c069,c069:12,Es el medio con el que trabaja,12
c069,c069:8888,No sabe,8888
c069,c069:9999,No contesta,9999
c075,c075:0,No,0
c075,c075:1,Sí,1
c075,c075:8888,No sabe,8888
c075,c075:9999,No contesta,9999
c076,c076:0,No,0
c076,c076:1,Sí,1
c076,c076:8888,No sabe,8888
c076,c076:9999,No contesta,9999
c078,c078:0,No,0
c078,c078:1,Sí,1
c078,c078:8888,No sabe,8888
c078,c078:9999,No contesta,9999
c079,c079:0,No,0
c079,c079:1,Sí,1
c079,c079:8888,No sabe,8888
c079,c079:9999,No contesta,9999
c080,c080:0,No,0
c080,c080:1,Sí,1
c080,c080:3,No Aplica,3
c080,c080:8888,No sabe,8888
c080,c080:9999,No contesta,9999
c081,c081:0,No,0
c081,c081:1,Sí,1
c081,c081:8888,No sabe,8888
c081,c081:9999,No contesta,9999
c082,c082:0,No,0
c082,c082:1,Sí,1
c082,c082:8888,No sabe,8888
c082,c082:9999,No contesta,9999
c086,c086:0,No,0
c086,c086:1,Sí,1
c086,c086:8888,No sabe,8888
c087,c087:0,No,0
c087,c087:1,Sí,1
c087,c087:8888,No sabe,8888
c088,c088:1,Iniciativa ciudadana,1
c088,c088:2,Iniciativa privada,2
c088,c088:3,Mismo gobierno,3
