concept_id,wave_id,q_id,option_id,option_label,canon_option_id,canon_label,aprobar
attr_sexo,2022,cp2_1,1,Masculino,attr_sexo:0,Hombre,
attr_sexo,2022,cp2_1,2,Femenino,attr_sexo:1,Mujer,
attr_sexo,2022,cp2_1,9999,No contesta,attr_sexo:9999,No contesta,
c111,2021,p22,0,0,c111:1,1,
c111,2021,p22,1,1,c111:2,2,
c111,2021,p22,2,2,c111:3,3,
c111,2021,p22,3,3,c111:4,4,
c111,2021,p22,4,4,c111:5,5,
c111,2021,p22,5,5,c111:6,6,
c111,2021,p22,6,6,c111:7,7,
c111,2021,p22,7,7,c111:8,8,
c111,2021,p22,8,8,c111:9,9,
c111,2021,p22,9,9,c111:10,10,
c142,2021,p33,1,"Transporte público: no hay rutas, son de mala calidad, el tiempo de espera es elevado.",c142:1,"Transporte público: no hay rutas, son de mala calidad, el tiempo de espera es elevado.",
c142,2021,p33,2,Congestión vehicular (Tráfico).,c142:2,Congestión vehicular (Tráfico).,
c142,2021,p33,3,"Inseguridad en el desplazamiento (choques entre vehículos, atropellos)",c142:3,"Inseguridad para desplazarse (choques entre vehículos, atropellos)",
c142,2021,p33,4,"Calidad de la infraestructura vial para automóviles: baches, semáforos descompuestos, deficiencias viales.",c142:4,"Calidad de la infraestructura vial para automóviles: baches, semáforos descompuestos, deficiencias viales.",
c142,2021,p33,5,No hay infraestructura para peatones y ciclistas.,c142:5,"No hay infraestructura para peatones y ciclistas (banquetas con obstáculos o falta de iluminación, ciclovías inexistentes, etc.)",
c142,2021,p33,6,Cultura vial: no se conduce de acuerdo con el reglamento.,c142:6,Cultura vial: no se conduce de acuerdo con el reglamento.,
c142,2021,p33,8,NS,c142:7,No tengo problemas,
c142,2021,p33,9,NC,c142:8,Costo combustible,
c245,2021,p68,0,0,c245:1,1,
c245,2021,p68,1,1,c245:2,2,
c245,2021,p68,2,2,c245:3,3,
c245,2021,p68,3,3,c245:4,4,
c245,2021,p68,4,4,c245:5,5,
c245,2021,p68,5,5,c245:6,6,
c245,2021,p68,6,6,c245:7,7,
c245,2021,p68,7,7,c245:8,8,
c245,2021,p68,8,8,c245:9,9,
c245,2021,p68,9,9,c245:10,10,
c271,2021,p81_a,0,0,c271:1,1,
c271,2021,p81_a,1,1,c271:2,2,
c271,2021,p81_a,2,2,c271:3,3,
c271,2021,p81_a,3,3,c271:4,4,
c271,2021,p81_a,4,4,c271:5,5,
c271,2021,p81_a,5,5,c271:6,6,
c271,2021,p81_a,6,6,c271:7,7,
c271,2021,p81_a,7,7,c271:8,8,
c271,2021,p81_a,8,8,c271:9,9,
c271,2021,p81_a,9,9,c271:10,10,
c272,2021,p81_b,0,0,c272:1,1,
c272,2021,p81_b,1,1,c272:2,2,
c272,2021,p81_b,2,2,c272:3,3,
c272,2021,p81_b,3,3,c272:4,4,
c272,2021,p81_b,4,4,c272:5,5,
c272,2021,p81_b,5,5,c272:6,6,
c272,2021,p81_b,6,6,c272:7,7,
c272,2021,p81_b,7,7,c272:8,8,
c272,2021,p81_b,8,8,c272:9,9,
c272,2021,p81_b,9,9,c272:10,10,
c273,2021,p81_c,0,0,c273:1,1,
c273,2021,p81_c,1,1,c273:2,2,
c273,2021,p81_c,2,2,c273:3,3,
