question_id,option_id,option_label
cp1,1,Nombre de cada integrante
cp2_1,1,Masculino
cp2_1,2,Femenino
cp2_1,9999,No contesta
cp2_2_1,1,Hombre
cp2_2_1,2,Mujer
cp2_2_1,3,No binario
cp2_2_1,9999,No contesta
cp3_1,8888,No sabe
cp3_1,9999,No contesta
cp3_1_1,8888,No sabe
cp3_1_1,9999,No contesta
cp4_1,1,Familia o pareja
cp4_1,2,Corresidentes (roomies)
cp4_1,3,Sola(o)
cp4_1,9999,No contesta
cp5_1,1,Jefa(e)
cp5_1,2,Esposa(o) o pareja
cp5_1,3,Hija(o)
cp5_1,4,Nieta (o)
cp5_1,5,Nuera o yerno
cp5_1,6,Madre o padre
cp5_1,7,Suegra(o)
cp5_1,9,Cuñada
cp5_1,10,Tia
cp5_1,11,Nuera
cp5_1,12,Sobrina
cp5_1,13,Hermano
cp5_1,14,Hijastro
cp5_1,15,Concuño
cp5_1,16,Abuelo
cp5_1,17,Amigos
cp5_1,18,Roomies
cp5_1,19,Primo
cp5_1,20,Padrastro
cp5_1,21,Pareja
cp5_1,22,Bisnieto
cp5_1,8888,No sabe
cp5_1,9999,No contesta
cp6_1,1,IMSS
cp6_1,2,"Hospital naval, militar o Pemex"
cp6_1,3,ISSSTE Federal
cp6_1,4,ISSSTE Estatal /lSSSTELEÓN
cp6_1,5,Secretaría de Salud (INSABI)
cp6_1,6,Servicios Médicos UANL /Hospital Universitario
cp6_1,7,Seguro médico privado
cp6_1,8,Seguro Popular
cp6_1,10,Ninguna institución
cp6_1,11,Otro
cp7_1,0,No
cp7_1,1,Sí
cp7_1,8888,No sabe
cp7_1,9999,No contesta
cp8_1,0,Ninguno
cp8_1,1,Preescolar
cp8_1,2,Primaria
cp8_1,3,Secundaria
cp8_1,4,Preparatoria o bachillerato general
cp8_1,5,Bachillerato tecnológico
cp8_1,6,Estudios técnicos o comerciales con primaria terminada
cp8_1,7,Estudios técnicos o comerciales con secundaria terminada
cp8_1,8,Estudios técnicos o comerciales con preparatoria terminada
cp8_1,9,Normal con primaria o secundaria terminada
cp8_1,10,Normal de licenciatura
cp8_1,11,Licenciatura
cp8_1,12,Especialidad
cp8_1,13,Maestría
cp8_1,14,Doctorado
cp8_1,8888,No sabe
cp8_1,9999,No contesta
cp9_1,1,Preescolar
cp9_1,2,Primaria
cp9_1,3,Secundaria
cp9_1,4,Preparatoria o bachillerato general
cp9_1,5,Bachillerato tecnológico
cp9_1,6,Estudios técnicos o comerciales con primaria terminada
cp9_1,7,Estudios técnicos o comerciales con secundaria terminada
cp9_1,8,Estudios técnicos o comerciales con preparatoria terminada
cp9_1,9,Normal con primaria o secundaria terminada
cp9_1,10,Normal de licenciatura
cp9_1,11,Licenciatura
cp9_1,12,Especialidad
cp9_1,13,Maestría
cp9_1,14,Doctorado
cp9_1,8888,No sabe
cp9_1,9999,No contesta
cp10_1,1,Pública
cp10_1,2,Privada
cp10_1,3,Otro tipo
cp10_1,8888,No sabe
cp10_1,9999,No contesta
cp10_1,7777,No aplica
cp11_1,1,Pésimas
cp11_1,2,Malas
cp11_1,3,Regulares
cp11_1,4,Buenas
cp11_1,5,Excelentes
cp11_1,8888,No sabe
cp11_1,9999,No contesta
cp11_1,7777,No aplica
cp12_1,1,Ningún día
cp12_1,2,1 a 2 días
cp12_1,4,5 o más días
cp12_1,8888,No sabe
cp12_1,9999,No contesta
cp12_1,7777,No aplica
cp13_1,0,NO
cp13_1,1,SÍ
cp13_1,8888,No sabe
cp13_1,9999,No contesta
cp13_1,7777,No aplica
cp14_1,0,NO
cp14_1,1,SÍ
cp14_1,8888,No sabe
cp14_1,9999,No contesta
cp15_1,0,NO
cp15_1,1,SÍ
cp15_1,8888,No sabe
cp15_1,9999,No contesta
cp16_a_8,1,1
cp16_a_8,2,2
cp16_a_8,3,3
cp16_a_8,4,4
cp16_a_8,5,5
cp16_a_8,6,6
cp16_a_8,7,7
cp16_a_8,8,8
cp16_a_8,9,9
cp16_a_8,10,10
cp16_a_8,8888,No sabe
cp16_a_8,9999,No contesta
cp16_a_8,7777,No aplica
cp16_b_8,1,1
cp16_b_8,2,2
cp16_b_8,3,3
cp16_b_8,4,4
cp16_b_8,5,5
cp16_b_8,6,6
cp16_b_8,7,7
cp16_b_8,8,8
cp16_b_8,9,9
cp16_b_8,10,10
cp16_b_8,8888,No sabe
cp16_b_8,9999,No contesta
cp16_b_8,7777,No aplica
cp16_c_9,1,1
cp16_c_9,2,2
cp16_c_9,3,3
cp16_c_9,4,4
cp16_c_9,5,5
cp16_c_9,6,6
cp16_c_9,7,7
cp16_c_9,8,8
cp16_c_9,9,9
cp16_c_9,10,10
cp16_c_9,8888,No sabe
cp16_c_9,9999,No contesta
cp16_c_9,7777,No aplica
p2,0,No
p2,1,Sí
p2,8888,No sabe
p2,9999,No contesta
p2,7777,No aplica
p3,0,No
p3,1,Sí
p3,8888,No sabe
p3,9999,No contesta
p3,7777,No aplica
p4,1,Empleado(a)
p4,2,Buscando empleo
p4,3,Estudiante
p4,4,Negocio propio
p4,5,Trabajo doméstico no remunerado (limpieza y cuidados)
p4,6,Trabajo doméstico remunerado (limpieza de otros hogares)
p4,7,Jubilado/Pensionado
p4,8,"Ni estudia, ni trabaja, ni busca empleo"
p4,9,Otro. Especificar
